room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5353465,22822247,Entire home/apt,,4,0,,2,1,180,1,21.283819,-157.829182,39:19.5
6480645,461037,Entire home/apt,,1,0,,,2,615,7,21.335018,-158.121111,39:07.1
9708475,50121521,Entire home/apt,,3,2,5,3,1,130,1,21.409588,-157.770477,38:55.8
10521855,1191923,Entire home/apt,,2,0,,,3,395,4,21.63533,-158.068778,38:49.2
563050,2602532,Private room,,3,59,5,2,1,119,3,21.367063,-157.733838,38:36.4
939666,5076896,Entire home/apt,,3,84,4.5,4,2,165,4,21.408738,-157.746651,38:26.2
6211767,32208943,Private room,,6,0,,1,1,50,10,21.316219,-157.834587,38:21.8
994861,971399,Entire home/apt,,5,26,5,5,2,169,1,21.285801,-157.819967,38:19.8
7596788,34221602,Entire home/apt,,3,12,5,2,1,99,2,21.399227,-157.742951,38:17.2
6006340,31181046,Private room,,2,33,5,2,1,80,3,21.656282,-158.054913,38:14.0
5718983,29164377,Entire home/apt,,4,0,,,3,1852,7,21.258003,-157.815699,38:11.7
484879,2178105,Entire home/apt,,2,81,4.5,3,1,140,1,21.680863,-158.031497,38:05.7
8444796,12935418,Entire home/apt,,4,17,4.5,2,1,119,1,21.281723,-157.825568,38:02.0
11057790,21188279,Private room,,6,2,5,2,1,90,2,21.322912,-157.842766,37:51.3
3425134,17264457,Entire home/apt,,3,2,5,,3,400,5,21.400628,-157.743682,37:48.7
8388203,43956001,Entire home/apt,,4,11,5,4,0,129,2,21.284634,-157.835662,37:45.8
1684552,4582631,Entire home/apt,,2,26,4.5,4,2,175,3,21.677694,-158.03342,37:35.9
3850056,1201408,Entire home/apt,,2,13,5,,3,285,5,21.555296,-157.854598,37:19.3
9328871,16154684,Entire home/apt,,4,8,5,4,1,129,11,21.283319,-157.8282,37:04.0
9478626,34010242,Entire home/apt,,5,4,5,2,0,109,2,21.288482,-157.832416,36:47.8
771663,1172448,Private room,,3,113,4.5,2,1,75,1,21.409654,-157.749696,36:44.8
3406684,15652222,Entire home/apt,,1,7,5,,3,400,6,21.336327,-158.121813,36:40.6
4614945,23907993,Entire home/apt,,3,1,4,,4,500,5,21.411318,-157.765817,36:34.2
11167753,58048038,Entire home/apt,,4,0,,2,2,120,3,21.286751,-157.788929,36:31.9
8690103,35744520,Entire home/apt,,2,24,4.5,3,0,60,3,21.551246,-158.115722,36:29.7
342120,1735929,Private room,,1,114,4.5,2,1,45,1,21.41048,-158.160123,36:22.8
4503299,23354551,Entire home/apt,,3,55,5,3,1,135,2,21.420155,-157.74759,36:15.3
6630454,33380091,Entire home/apt,,4,0,,6,1,190,1,21.274212,-157.821071,36:11.7
7179690,10303849,Entire home/apt,,5,19,4.5,3,1,89,3,21.304634,-157.822572,36:06.2
4681923,2384634,Entire home/apt,,4,15,5,4,1,135,1,21.280343,-157.827999,36:02.7
9742026,21661619,Entire home/apt,,5,0,,,3,600,5,21.293755,-157.807734,35:53.8
9485885,25846886,Entire home/apt,,2,1,5,,5,1059,,21.649101,-157.922918,35:48.8
255644,1343892,Private room,,2,7,4.5,3,1,188,3,21.679198,-158.032121,35:27.6
1664552,8799028,Entire home/apt,,4,78,4.5,4,1,135,1,21.281292,-157.827988,35:24.4
9430295,27960455,Entire home/apt,,5,1,,2,1,145,3,21.30044,-157.800611,35:20.9
2626933,13453986,Entire home/apt,,2,1,5,,3,275,1,21.653801,-158.056775,35:18.6
8360054,44064655,Shared room,,5,7,5,1,1,48,2,21.295647,-157.838352,35:12.6
9716139,49363174,Private room,,4,0,,2,1,109,1,21.301796,-157.701522,35:09.2
10577090,34024330,Entire home/apt,,4,1,5,2,0,103,2,21.278465,-157.823242,35:05.9
7198784,5746903,Private room,,4,12,4.5,1,1,57,3,21.268976,-157.788224,34:56.9
5840513,30325137,Entire home/apt,,1,1,4,3,1,97,30,21.478255,-158.222558,34:50.1
521895,1671879,Entire home/apt,,4,21,4,2,1,99,3,21.28187,-157.827737,34:42.2
9653461,49903884,Entire home/apt,,2,3,4.5,,2,249,1,21.671371,-158.0371,34:22.6
7051883,36760663,Entire home/apt,,6,10,5,,2,195,1,21.308434,-157.826443,34:20.0
9029688,12935418,Private room,,5,5,4,2,1,55,1,21.282399,-157.825145,34:13.1
4758528,2872572,Entire home/apt,,1,2,5,,3,575,6,21.335688,-158.12201,34:09.4
10248444,52676905,Entire home/apt,,4,6,5,3,0,160,2,21.272515,-157.821079,34:06.9
196129,949424,Entire home/apt,,4,10,4.5,5,1,125,,21.281341,-157.825309,33:54.6
1373228,7442275,Entire home/apt,,4,5,5,,3,650,1,21.29605,-157.691908,33:48.3
6587827,6551239,Entire home/apt,,2,20,5,4,1,121,3,21.603919,-157.900023,33:46.0
5390995,27944927,Entire home/apt,,4,0,,4,1,117,6,21.281861,-157.827649,33:42.2
4857597,22267033,Entire home/apt,,4,6,4.5,4,0,229,6,21.281751,-157.831071,33:40.0
4404744,10496350,Entire home/apt,,5,0,,,2,500,8,21.291266,-157.848207,33:31.9
9514747,45388803,Entire home/apt,,4,1,5,3,1,145,1,21.281302,-157.826611,33:16.5
8286089,3928131,Private room,,7,26,4.5,2,1,50,1,21.346015,-157.904415,33:08.8
1018955,4242548,Entire home/apt,,2,83,4.5,2,1,85,3,21.650582,-158.060292,33:05.7
7717434,34480813,Private room,,4,20,4.5,3,1,85,1,21.271398,-157.779975,33:02.4
9132775,13324117,Private room,,5,6,5,1,1,50,2,21.281857,-157.817383,32:51.1
10568471,54511702,Entire home/apt,,3,0,,4,2,175,30,21.387096,-157.713424,32:38.9
5115728,770461,Entire home/apt,,2,13,4.5,2,1,85,1,21.661608,-158.05247,32:33.1
1013761,2700224,Entire home/apt,,4,16,5,2,1,90,25,21.281709,-157.828918,32:29.9
3192644,461037,Entire home/apt,,2,1,2,,3,360,4,21.602214,-157.898415,32:19.3
3093258,9165402,Entire home/apt,,1,8,5,3,0,125,10,21.479601,-158.223895,32:08.1
6811731,9972944,Private room,,4,3,5,2,1,85,90,21.274623,-157.818199,32:01.3
10272035,26088078,Entire home/apt,,6,9,4.5,3,2,115,2,21.30664,-157.847883,31:50.7
